Time,ObjectX,ObjectY,ObjectZ,CameraX,CameraY,CameraZ,Distance,DeltaDistance,InitialDistance
3.47,0.0000,1.5000,1.5000,-0.0007,1.4995,-0.0005,1.5005,0.0000,1.5005
3.58,0.0000,1.5000,1.5000,-0.0008,1.4995,-0.0004,1.5004,-0.0001,1.5005
3.68,0.0000,1.5000,1.5000,-0.0008,1.4994,-0.0005,1.5005,0.0000,1.5005
3.78,0.0000,1.5000,1.5000,-0.0008,1.4994,-0.0005,1.5005,0.0000,1.5005
3.90,0.0000,1.5000,1.5000,-0.0008,1.4993,-0.0003,1.5003,-0.0001,1.5005
4.00,0.0000,1.5000,1.5000,-0.0008,1.4993,-0.0004,1.5004,-0.0001,1.5005
4.12,0.0000,1.5000,1.5000,-0.0008,1.4993,-0.0003,1.5003,-0.0002,1.5005
4.22,0.0000,1.5000,1.5000,-0.0008,1.4993,-0.0004,1.5004,0.0000,1.5005
4.33,0.0000,1.5000,1.5000,-0.0008,1.4993,-0.0004,1.5004,-0.0001,1.5005
4.43,0.0000,1.5000,1.5000,-0.0008,1.4993,-0.0004,1.5004,-0.0001,1.5005
4.55,0.0000,1.5000,1.5000,-0.0008,1.4992,-0.0003,1.5003,-0.0002,1.5005
4.65,0.0000,1.5000,1.5000,-0.0008,1.4991,-0.0003,1.5003,-0.0002,1.5005
4.77,0.0000,1.5000,1.5000,-0.0008,1.4991,-0.0003,1.5003,-0.0002,1.5005
4.88,0.0000,1.5000,1.5000,-0.0008,1.4991,-0.0002,1.5002,-0.0003,1.5005
4.98,0.0000,1.5000,1.5000,-0.0008,1.4990,-0.0002,1.5002,-0.0003,1.5005
5.10,0.0000,1.5000,1.5000,-0.0008,1.4990,-0.0002,1.5002,-0.0003,1.5005
5.20,0.0000,1.5000,1.5000,-0.0008,1.4990,-0.0003,1.5003,-0.0002,1.5005
5.30,0.0000,1.5000,1.5000,-0.0008,1.4990,-0.0002,1.5002,-0.0003,1.5005
5.42,0.0000,1.5000,1.5000,-0.0008,1.4989,-0.0003,1.5003,-0.0002,1.5005
5.53,0.0000,1.5000,1.5000,-0.0008,1.4989,-0.0003,1.5003,-0.0002,1.5005
