Time,ObjectX,ObjectY,ObjectZ,CameraX,CameraY,CameraZ,Distance,DeltaDistance,InitialDistance
3.46,0.0000,1.5000,1.5000,0.0547,1.5649,-0.1397,1.6418,0.0000,1.6418
3.56,0.0000,1.5000,1.5000,0.0511,1.5646,-0.1633,1.6653,0.0235,1.6418
3.66,0.0000,1.5000,1.5000,0.0578,1.5672,-0.1838,1.6861,0.0443,1.6418
3.76,0.0000,1.5000,1.5000,0.0591,1.5656,-0.2057,1.7080,0.0662,1.6418
3.87,0.0000,1.5000,1.5000,0.0642,1.5707,-0.2276,1.7303,0.0884,1.6418
4.00,0.0000,1.5000,1.5000,0.0709,1.5785,-0.2582,1.7614,0.1195,1.6418
4.13,0.0000,1.5000,1.5000,0.0774,1.5759,-0.2799,1.7832,0.1413,1.6418
4.26,0.0000,1.5000,1.5000,0.0829,1.5782,-0.2961,1.7997,0.1579,1.6418
4.36,0.0000,1.5000,1.5000,0.0817,1.5808,-0.3092,1.8128,0.1710,1.6418
4.46,0.0000,1.5000,1.5000,0.0863,1.5802,-0.3163,1.8202,0.1783,1.6418
4.56,0.0000,1.5000,1.5000,0.0851,1.5826,-0.3244,1.8282,0.1864,1.6418
4.69,0.0000,1.5000,1.5000,0.0844,1.5794,-0.3272,1.8309,0.1890,1.6418
4.83,0.0000,1.5000,1.5000,0.0813,1.5785,-0.3341,1.8376,0.1957,1.6418
4.93,0.0000,1.5000,1.5000,0.0806,1.5767,-0.3402,1.8435,0.2017,1.6418
5.06,0.0000,1.5000,1.5000,0.0801,1.5747,-0.3514,1.8546,0.2128,1.6418
5.16,0.0000,1.5000,1.5000,0.0797,1.5739,-0.3623,1.8655,0.2237,1.6418
5.26,0.0000,1.5000,1.5000,0.0803,1.5752,-0.3750,1.8782,0.2364,1.6418
5.36,0.0000,1.5000,1.5000,0.0824,1.5770,-0.3920,1.8953,0.2535,1.6418
5.49,0.0000,1.5000,1.5000,0.0856,1.5796,-0.4195,1.9231,0.2812,1.6418
5.63,0.0000,1.5000,1.5000,0.0884,1.5814,-0.4474,1.9511,0.3093,1.6418
5.73,0.0000,1.5000,1.5000,0.0909,1.5798,-0.4601,1.9638,0.3220,1.6418
5.86,0.0000,1.5000,1.5000,0.0933,1.5748,-0.4662,1.9698,0.3279,1.6418
5.96,0.0000,1.5000,1.5000,0.0922,1.5744,-0.4659,1.9695,0.3276,1.6418
6.09,0.0000,1.5000,1.5000,0.0886,1.5738,-0.4506,1.9540,0.3122,1.6418
6.23,0.0000,1.5000,1.5000,0.0691,1.5811,-0.4130,1.9160,0.2741,1.6418
6.33,0.0000,1.5000,1.5000,0.0421,1.5879,-0.3669,1.8695,0.2276,1.6418
6.43,0.0000,1.5000,1.5000,-0.0010,1.5893,-0.3093,1.8115,0.1697,1.6418
6.53,0.0000,1.5000,1.5000,-0.0583,1.5753,-0.2545,1.7571,0.1152,1.6418
6.66,0.0000,1.5000,1.5000,-0.1357,1.5939,-0.1952,1.7033,0.0614,1.6418
6.76,0.0000,1.5000,1.5000,-0.1991,1.6434,-0.1772,1.6950,0.0532,1.6418
6.86,0.0000,1.5000,1.5000,-0.2508,1.7354,-0.1812,1.7160,0.0742,1.6418
6.99,0.0000,1.5000,1.5000,-0.3104,1.8698,-0.2076,1.7746,0.1327,1.6418
7.13,0.0000,1.5000,1.5000,-0.3600,1.9748,-0.2452,1.8441,0.2023,1.6418
7.26,0.0000,1.5000,1.5000,-0.3942,2.0106,-0.2602,1.8747,0.2328,1.6418
7.40,0.0000,1.5000,1.5000,-0.4369,2.0115,-0.2712,1.8946,0.2528,1.6418
7.53,0.0000,1.5000,1.5000,-0.5028,2.0052,-0.2790,1.9165,0.2746,1.6418
7.63,0.0000,1.5000,1.5000,-0.5086,2.0190,-0.2458,1.8910,0.2491,1.6418
7.76,0.0000,1.5000,1.5000,-0.5348,2.0184,-0.2094,1.8646,0.2228,1.6418
7.86,0.0000,1.5000,1.5000,-0.5693,2.0209,-0.1930,1.8606,0.2187,1.6418
7.99,0.0000,1.5000,1.5000,-0.6411,2.0144,-0.1803,1.8705,0.2287,1.6418
8.09,0.0000,1.5000,1.5000,-0.7168,2.0040,-0.1878,1.9017,0.2599,1.6418
8.23,0.0000,1.5000,1.5000,-0.8636,1.9819,-0.2472,2.0076,0.3658,1.6418
8.33,0.0000,1.5000,1.5000,-0.9936,1.9679,-0.2917,2.1015,0.4597,1.6418
8.43,0.0000,1.5000,1.5000,-1.1205,1.9654,-0.3384,2.2027,0.5608,1.6418
8.53,0.0000,1.5000,1.5000,-1.2084,1.9824,-0.3628,2.2722,0.6304,1.6418
8.66,0.0000,1.5000,1.5000,-1.2926,1.9861,-0.3819,2.3342,0.6924,1.6418
8.76,0.0000,1.5000,1.5000,-1.3520,1.9797,-0.3800,2.3648,0.7229,1.6418
8.86,0.0000,1.5000,1.5000,-1.4134,1.9788,-0.3722,2.3942,0.7524,1.6418
9.01,0.0000,1.5000,1.5000,-1.4686,1.9748,-0.3096,2.3784,0.7366,1.6418
9.13,0.0000,1.5000,1.5000,-1.5258,1.9842,-0.2579,2.3775,0.7357,1.6418
9.23,0.0000,1.5000,1.5000,-1.5834,1.9836,-0.2239,2.3901,0.7483,1.6418
9.33,0.0000,1.5000,1.5000,-1.6359,1.9937,-0.1992,2.4098,0.7679,1.6418
9.46,0.0000,1.5000,1.5000,-1.6958,2.0048,-0.1850,2.4433,0.8014,1.6418
9.56,0.0000,1.5000,1.5000,-1.7478,1.9906,-0.1785,2.4724,0.8305,1.6418
9.69,0.0000,1.5000,1.5000,-1.8464,1.9766,-0.1846,2.5445,0.9026,1.6418
9.79,0.0000,1.5000,1.5000,-1.9582,1.9635,-0.1761,2.6190,0.9771,1.6418
9.89,0.0000,1.5000,1.5000,-2.0704,1.9749,-0.1546,2.6925,1.0507,1.6418
10.03,0.0000,1.5000,1.5000,-2.1624,2.0020,-0.1274,2.7525,1.1107,1.6418
10.16,0.0000,1.5000,1.5000,-2.2316,2.0134,-0.0964,2.7914,1.1496,1.6418
10.26,0.0000,1.5000,1.5000,-2.2829,2.0021,-0.0523,2.8060,1.1641,1.6418
10.36,0.0000,1.5000,1.5000,-2.3356,1.9832,0.0067,2.8140,1.1721,1.6418
10.49,0.0000,1.5000,1.5000,-2.3704,1.9723,0.1007,2.7928,1.1510,1.6418
10.59,0.0000,1.5000,1.5000,-2.3863,1.9870,0.1758,2.7722,1.1304,1.6418
10.73,0.0000,1.5000,1.5000,-2.4309,2.0109,0.2624,2.7752,1.1334,1.6418
10.86,0.0000,1.5000,1.5000,-2.4635,2.0092,0.3556,2.7637,1.1218,1.6418
10.96,0.0000,1.5000,1.5000,-2.4827,1.9965,0.4330,2.7475,1.1057,1.6418
11.06,0.0000,1.5000,1.5000,-2.5065,1.9828,0.5097,2.7379,1.0960,1.6418
11.19,0.0000,1.5000,1.5000,-2.5376,1.9787,0.6243,2.7268,1.0850,1.6418
11.33,0.0000,1.5000,1.5000,-2.5631,2.0073,0.7463,2.7193,1.0775,1.6418
11.43,0.0000,1.5000,1.5000,-2.5604,2.0148,0.8228,2.6980,1.0561,1.6418
11.56,0.0000,1.5000,1.5000,-2.5576,2.0176,0.9195,2.6732,1.0314,1.6418
11.66,0.0000,1.5000,1.5000,-2.5455,2.0037,0.9933,2.6439,1.0020,1.6418
11.79,0.0000,1.5000,1.5000,-2.5187,1.9858,1.0924,2.5973,0.9554,1.6418
11.89,0.0000,1.5000,1.5000,-2.4877,1.9810,1.1755,2.5545,0.9126,1.6418
11.99,0.0000,1.5000,1.5000,-2.4699,2.0145,1.2550,2.5348,0.8930,1.6418
12.09,0.0000,1.5000,1.5000,-2.4455,1.9985,1.3406,2.5009,0.8590,1.6418
12.23,0.0000,1.5000,1.5000,-2.4199,2.0028,1.4492,2.4721,0.8302,1.6418
12.36,0.0000,1.5000,1.5000,-2.3817,1.9915,1.5427,2.4323,0.7904,1.6418
12.49,0.0000,1.5000,1.5000,-2.3646,1.9833,1.6658,2.4192,0.7774,1.6418
12.59,0.0000,1.5000,1.5000,-2.3413,1.9874,1.7530,2.4049,0.7630,1.6418
12.73,0.0000,1.5000,1.5000,-2.3027,2.0049,1.8322,2.3807,0.7388,1.6418
12.83,0.0000,1.5000,1.5000,-2.2600,2.0124,1.8672,2.3463,0.7045,1.6418
12.96,0.0000,1.5000,1.5000,-2.2048,2.0136,1.9448,2.3071,0.6653,1.6418
13.06,0.0000,1.5000,1.5000,-2.1435,2.0017,1.9516,2.2473,0.6055,1.6418
13.19,0.0000,1.5000,1.5000,-2.0527,1.9831,1.9719,2.1609,0.5191,1.6418
