Time,ObjectX,ObjectY,ObjectZ,CameraX,CameraY,CameraZ,Distance,DeltaDistance,InitialDistance
3.47,-0.0139,1.5000,1.4894,-0.0002,1.5001,0.0000,1.4894,0.0000,1.4894
3.57,-0.0296,1.5000,1.4773,-0.0002,1.5001,0.0000,1.4776,-0.0117,1.4894
3.69,-0.0482,1.5000,1.4631,-0.0001,1.5001,0.0000,1.4639,-0.0255,1.4894
3.79,-0.0643,1.5000,1.4508,0.0000,1.5000,0.0000,1.4522,-0.0372,1.4894
3.90,-0.0826,1.5000,1.4367,0.0000,1.5001,0.0000,1.4391,-0.0503,1.4894
4.02,-0.1012,1.5000,1.4225,0.0000,1.5001,0.0000,1.4261,-0.0633,1.4894
4.14,-0.1197,1.5000,1.4083,0.0000,1.5001,0.0001,1.4133,-0.0760,1.4894
4.24,-0.1356,1.5000,1.3961,0.0000,1.5001,0.0001,1.4026,-0.0868,1.4894
4.35,-0.1481,1.5000,1.3840,0.0000,1.5000,0.0000,1.3918,-0.0975,1.4894
4.45,-0.1280,1.5000,1.3838,0.0000,1.5000,0.0000,1.3897,-0.0997,1.4894
4.57,-0.1046,1.5000,1.3835,0.0000,1.5000,0.0001,1.3873,-0.1020,1.4894
4.69,-0.0814,1.5000,1.3832,0.0000,1.5000,0.0000,1.3857,-0.1037,1.4894
4.80,-0.0580,1.5000,1.3830,0.0000,1.5001,0.0000,1.3842,-0.1052,1.4894
4.92,-0.0348,1.5000,1.3827,0.0000,1.5000,0.0000,1.3832,-0.1062,1.4894
5.02,-0.0147,1.5000,1.3825,0.0000,1.5001,0.0000,1.3827,-0.1067,1.4894
5.12,0.0053,1.5000,1.3823,0.0000,1.5001,0.0000,1.3824,-0.1070,1.4894
5.24,0.0286,1.5000,1.3821,0.0000,1.5001,-0.0001,1.3824,-0.1069,1.4894
5.35,0.0519,1.5000,1.3818,0.0000,1.5002,-0.0001,1.3828,-0.1065,1.4894
5.45,0.0720,1.5000,1.3816,0.0001,1.5002,-0.0001,1.3835,-0.1058,1.4894
5.57,0.0953,1.5000,1.3813,0.0001,1.5002,-0.0001,1.3847,-0.1047,1.4894
5.69,0.1185,1.5000,1.3811,0.0001,1.5002,-0.0001,1.3862,-0.1031,1.4894
5.79,0.1386,1.5000,1.3809,0.0001,1.5001,-0.0002,1.3880,-0.1014,1.4894
